file_path,standardized_z
1001_TME07-1_30x_Str_05B_xyz-3495-18394-128,0.547008547
1002_TME07-1_30x_Str_05B_xyz-3553-9333-260,0.893162393
1004_TME07-1_30x_Str_05B_xyz-3861-13906-168,0.717948718
1005_TME07-1_30x_Str_05B_xyz-4211-18593-355,0.487179487
1006_TME07-1_30x_Str_05B_xyz-4413-17905-16,0.068376068
1007_TME07-1_30x_Str_05B_xyz-4417-18113-366,0.44017094
1008_TME07-1_30x_Str_05B_xyz-4527-20831-183,0.782051282
1009_TME07-1_30x_Str_05B_xyz-4694-5498-443,0.111111111
1010_TME07-1_30x_Str_05B_xyz-4730-6000-377,0.393162393
1011_TME07-1_30x_Str_05B_xyz-4815-12437-198,0.846153846
1012_TME07-1_30x_Str_05B_xyz-4854-8522-416,0.226495726
1013_TME07-1_30x_Str_05B_xyz-4988-12549-399,0.299145299
1014_TME07-1_30x_Str_05B_xyz-5291-16566-88,0.376068376
1015_TME07-1_30x_Str_05B_xyz-5347-8517-183,0.782051282
1016_TME07-1_30x_Str_05B_xyz-5369-19096-133,0.568376068
1017_TME07-1_30x_Str_05B_xyz-5406-9296-196,0.837606838
1018_TME07-1_30x_Str_05B_xyz-5469-9333-275,0.829059829
1019_TME07-1_30x_Str_05B_xyz-5495-12046-244,0.961538462
1020_TME07-1_30x_Str_05B_xyz-5496-19282-343,0.538461538
1021_TME07-1_30x_Str_05B_xyz-5500-20987-56,0.239316239
1022_TME07-1_30x_Str_05B_xyz-5502-16160-235,1
1024_TME07-1_30x_Str_05B_xyz-6035-8827-40,0.170940171
1025_TME07-1_30x_Str_05B_xyz-6108-10727-265,0.871794872
1027_TME07-1_30x_Str_05B_xyz-6181-15170-224,0.957264957
1030_TME07-1_30x_Str_05B_xyz-6446-13031-439,0.128205128
1031_TME07-1_30x_Str_05B_xyz-6453-9860-353,0.495726496
1032_TME07-1_30x_Str_05B_xyz-6480-10486-316,0.653846154
1033_TME07-1_30x_Str_05B_xyz-6534-9317-68,0.290598291
1034_TME07-1_30x_Str_05B_xyz-6543-14537-392,0.329059829
1035_TME07-1_30x_Str_05B_xyz-6585-8468-74,0.316239316
1036_TME07-1_30x_Str_05B_xyz-6670-8037-95,0.405982906
1037_TME07-1_30x_Str_05B_xyz-6689-6307-418,0.217948718
1038_TME07-1_30x_Str_05B_xyz-6715-9318-66,0.282051282
1039_TME07-1_30x_Str_05B_xyz-6744-11033-442,0.115384615
1040_TME07-1_30x_Str_05B_xyz-6857-19532-357,0.478632479
1041_TME07-1_30x_Str_05B_xyz-6948-15961-244,0.961538462
1042_TME07-1_30x_Str_05B_xyz-6988-8478-90,0.384615385
1043_TME07-1_30x_Str_05B_xyz-7115-14487-317,0.64957265
1044_TME07-1_30x_Str_05B_xyz-7158-16545-376,0.397435897
1045_TME07-1_30x_Str_05B_xyz-7176-6781-320,0.636752137
1047_TME07-1_30x_Str_05B_xyz-7265-19054-43,0.183760684
1049_TME07-1_30x_Str_05B_xyz-7313-11251-62,0.264957265
1050_TME07-1_30x_Str_05B_xyz-7362-6817-222,0.948717949
1052_TME07-1_30x_Str_05B_xyz-7492-9920-74,0.316239316
1054_TME07-1_30x_Str_05B_xyz-7698-13325-345,0.52991453
1055_TME07-1_30x_Str_05B_xyz-7719-11796-267,0.863247863
1058_TME07-1_30x_Str_05B_xyz-8129-11849-392,0.329059829
1059_TME07-1_30x_Str_05B_xyz-8456-13056-34,0.145299145
1060_TME07-1_30x_Str_05B_xyz-8483-11090-376,0.397435897
1061_TME07-1_30x_Str_05B_xyz-8542-17177-396,0.311965812
1062_TME07-1_30x_Str_05B_xyz-8599-15946-373,0.41025641
1063_TME07-1_30x_Str_05B_xyz-8610-14426-172,0.735042735
1064_TME07-1_30x_Str_05B_xyz-8707-16761-435,0.145299145
1065_TME07-1_30x_Str_05B_xyz-8748-13234-355,0.487179487
1066_TME07-1_30x_Str_05B_xyz-8754-12129-213,0.91025641
1067_TME07-1_30x_Str_05B_xyz-8801-10203-435,0.145299145
1068_TME07-1_30x_Str_05B_xyz-8823-15687-431,0.162393162
1069_TME07-1_30x_Str_05B_xyz-8995-8554-150,0.641025641
1070_TME07-1_30x_Str_05B_xyz-9047-14928-46,0.196581197
1071_TME07-1_30x_Str_05B_xyz-9178-13106-358,0.474358974
1072_TME07-1_30x_Str_05B_xyz-9261-11936-171,0.730769231
1073_TME07-1_30x_Str_05B_xyz-9308-16798-372,0.414529915
1074_TME07-1_30x_Str_05B_xyz-9366-10693-394,0.320512821
1075_TME07-1_30x_Str_05B_xyz-9605-14694-375,0.401709402
1076_TME07-1_30x_Str_05B_xyz-9740-15456-203,0.867521368
1077_TME07-1_30x_Str_05B_xyz-9847-15708-190,0.811965812
1079_TME07-1_30x_Str_05B_xyz-10612-14742-359,0.47008547
1080_TME07-1_30x_Str_05B_xyz-10708-12594-434,0.14957265
1081_TME07-1_30x_Str_05B_xyz-10994-15414-100,0.427350427
1083_TME07-1_30x_Str_06A_xyz-2086-6533-350,0.545833333
1084_TME07-1_30x_Str_06A_xyz-2429-6689-211,0.879166667
1087_TME07-1_30x_Str_06A_xyz-2709-4564-53,0.220833333
1088_TME07-1_30x_Str_06A_xyz-2830-5879-311,0.708333333
1089_TME07-1_30x_Str_06A_xyz-2930-5049-367,0.475
1091_TME07-1_30x_Str_06A_xyz-3471-7723-393,0.366666667
1093_TME07-1_30x_Str_06A_xyz-3680-3568-147,0.6125
1094_TME07-1_30x_Str_06A_xyz-3750-3769-111,0.4625
1095_TME07-1_30x_Str_06A_xyz-3932-8586-101,0.420833333
1097_TME07-1_30x_Str_06A_xyz-4355-1880-316,0.6875
1098_TME07-1_30x_Str_06A_xyz-4598-3915-400,0.3375
1099_TME07-1_30x_Str_06A_xyz-4770-11103-130,0.541666667
1100_TME07-1_30x_Str_06A_xyz-4864-4524-423,0.241666667
1101_TME07-1_30x_Str_06A_xyz-4958-9257-160,0.666666667
1102_TME07-1_30x_Str_06A_xyz-4985-4971-52,0.216666667
1103_TME07-1_30x_Str_06A_xyz-5024-11645-361,0.5
1104_TME07-1_30x_Str_06A_xyz-5520-1643-52,0.216666667
1105_TME07-1_30x_Str_06A_xyz-5876-1093-340,0.5875
1106_TME07-1_30x_Str_06A_xyz-5879-11821-327,0.641666667
1108_TME07-1_30x_Str_06A_xyz-6088-1494-375,0.441666667
1109_TME07-1_30x_Str_06A_xyz-6096-1097-183,0.7625
1110_TME07-1_30x_Str_06A_xyz-6181-2154-80,0.333333333
1111_TME07-1_30x_Str_06A_xyz-6233-13389-102,0.425
1112_TME07-1_30x_Str_06A_xyz-6326-3013-52,0.216666667
1113_TME07-1_30x_Str_06A_xyz-6337-13711-331,0.625
1115_TME07-1_30x_Str_06A_xyz-6542-10803-106,0.441666667
1117_TME07-1_30x_Str_06A_xyz-6733-8822-163,0.679166667
1119_TME07-1_30x_Str_06A_xyz-6835-6198-446,0.145833333
1120_TME07-1_30x_Str_06A_xyz-6863-2397-397,0.35
1122_TME07-1_30x_Str_06A_xyz-6960-2706-85,0.354166667
1125_TME07-1_30x_Str_06A_xyz-7023-2129-167,0.695833333
1126_TME07-1_30x_Str_06A_xyz-7102-7520-409,0.3
1129_TME07-1_30x_Str_06A_xyz-7315-2224-243,0.991666667
1130_TME07-1_30x_Str_06A_xyz-7344-2798-128,0.533333333
1131_TME07-1_30x_Str_06A_xyz-7346-7696-358,0.5125
1133_TME07-1_30x_Str_06A_xyz-7397-1328-119,0.495833333
1134_TME07-1_30x_Str_06A_xyz-7417-12810-246,0.979166667
1135_TME07-1_30x_Str_06A_xyz-7652-8098-361,0.5
1136_TME07-1_30x_Str_06A_xyz-7673-2275-201,0.8375
1139_TME07-1_30x_Str_06A_xyz-7869-14076-388,0.3875
1140_TME07-1_30x_Str_06A_xyz-8119-1661-352,0.5375
1141_TME07-1_30x_Str_06A_xyz-8974-12633-387,0.391666667
1143_TME07-1_30x_Str_06A_xyz-9135-11695-378,0.429166667
1144_TME07-1_30x_Str_06A_xyz-9368-12209-381,0.416666667
1145_TME07-1_30x_Str_06A_xyz-9753-11021-414,0.279166667
1154_TME07-1_30x_Str_06B_xyz-1245-14696-365,0.459915612
1155_TME07-1_30x_Str_06B_xyz-1330-14285-196,0.827004219
1156_TME07-1_30x_Str_06B_xyz-1445-15385-397,0.324894515
1159_TME07-1_30x_Str_06B_xyz-2409-15505-329,0.611814346
1160_TME07-1_30x_Str_06B_xyz-2652-7487-409,0.274261603
1161_TME07-1_30x_Str_06B_xyz-2739-4214-415,0.248945148
1162_TME07-1_30x_Str_06B_xyz-2824-5053-409,0.274261603
1163_TME07-1_30x_Str_06B_xyz-2957-3206-289,0.780590717
1164_TME07-1_30x_Str_06B_xyz-2990-4352-364,0.464135021
1166_TME07-1_30x_Str_06B_xyz-3117-4262-225,0.949367089
1169_TME07-1_30x_Str_06B_xyz-3379-13634-33,0.139240506
1171_TME07-1_30x_Str_06B_xyz-3527-15496-360,0.481012658
1172_TME07-1_30x_Str_06B_xyz-3540-3489-379,0.400843882
1173_TME07-1_30x_Str_06B_xyz-3562-4153-404,0.29535865
