file_path,Brain,Genotype,Type,Striatal.Subregion,Bif_ampl_local,Bif_ampl_remote,Branch_Order,Depth,Sum_EucDistance,Max_EucDistance,Fractal_Dim,Height,Length,N_bifs,N_branch,N_stems,N_tips,Partition_asymmetry,Sum_PathDistance,Max_PathDistance,Width,Terminal_degree,Bif_tilt_local,Bif_tilt_remote,Bif_torque_local,Bif_torque_remote,ABEL_All,BAPL_All,ABEL_Internal,BAPL_Internal,ABEL_Terminal,BAPL_Terminal,Balancing_Factor,Centripetal_Bias,Convexity
hTME15-1_Str_01_xyz-3476-6791-80,hTME15-1,WT,D2,CPr,90.7187,66.2256,7,75.24,65099.3,143.391,1.02989,178.238,2368.23,25,53,3,28,0.465576,87303.5,186.989,201.549,1.24098,99.5327,113.764,101.163,94.618,37.8267212,44.67886792,13.68735655,14.818,59.37972535,71.34035714,0.770720447,4.527580269,0.816666667
hTME15-1_Str_01_xyz-3911-7205-111,hTME15-1,WT,D1,CPr,45.6322,47.9017,3,55.01,14283.1,113.543,1.02825,133.155,878.652,7,17,3,10,0.47619,16734.6,135.876,149.358,1.13636,132.771,131.445,80.8198,67.3198,44.74587297,51.68058824,13.79799523,14.44,66.40938739,77.749,0.810768497,5.745394572,0.875
hTME15-1_Str_01_xyz-4179-6689-141,hTME15-1,WT,D1,CPr,70.6069,83.2137,5,120.23,23084.3,126.056,1.03652,167.129,1470.24,13,29,3,16,0.365385,32485.7,171.325,146.358,1.30343,117.071,110.088,108.071,117.911,43.23558361,50.69310345,20.23721754,22.17846154,61.92175605,73.86125,0.74255984,3.920085036,0.901234568
hTME15-1_Str_01_xyz-4244-6251-161,hTME15-1,WT,D2,CPr,77.3159,63.3979,2,54.59,32817.5,132.56,1.03327,135.61,1088.39,7,19,5,12,0.285714,40532.5,158.924,159.301,1.21722,117.838,124.34,111.213,102.572,49.11341837,57.27789474,33.44787521,37.62142857,58.25165188,68.74416667,0.777929845,4.710857634,0.892857143
hTME15-1_Str_01_xyz-4366-6907-153,hTME15-1,WT,D2,CPr,72.5492,58.9983,4,59.27,21268.8,117.107,1.03673,204.84,832.622,8,21,5,13,0.5,25631.5,149.308,56.8945,1.34184,114.637,124.358,80.0382,100.495,33.40143175,39.64285714,23.34779126,27.5375,39.58828744,47.09230769,0.739025977,3.85408656,0.844444444
hTME15-1_Str_01_xyz-5274-6880-175,hTME15-1,WT,D1,CPr,37.2744,75.5849,4,100.19,19420.6,92.8465,1.03249,132.631,1039.38,7,19,5,12,0.428571,24913.2,153.278,138.467,1.1399,147.879,114.223,72.5034,110.088,43.95642987,54.69947368,16.91323857,17.96428571,59.73162479,76.12833333,0.732751297,3.74166383,0.862244898
hTME15-1_Str_01_xyz-5456-7400-233,hTME15-1,WT,D2,CPr,87.3986,95.8224,4,84.35,31158,102.21,1.06409,146.768,1505.28,17,37,3,20,0.423529,46903.7,158.005,128.418,1.49141,107.949,105.272,71.4846,83.1332,30.92961591,40.67783784,19.60575648,22.62529412,40.55489643,56.0225,0.573075066,2.07111245,0.888429752
hTME15-1_Str_01_xyz-5809-3778-166,hTME15-1,WT,D2,CPr,73.2756,57.073,3,129.91,43392.7,130.262,1.06501,205.89,1532.49,10,25,5,15,0.5,54594.5,191.322,64.9696,1.40097,118.898,135.448,107.418,97.9309,46.461739,61.2948,37.51142048,42.06,52.42861801,74.118,0.710247382,3.382568275,0.934256055
hTME15-1_Str_01_xyz-6005-8438-148,hTME15-1,WT,D1,CPr,96.2587,88.7878,4,114.3,46751.9,119.314,1.03094,166.819,1529.21,13,29,3,16,0.394872,62875.2,146.153,163.769,1.1732,108.056,112.543,80.1849,80.4161,44.50429825,52.7262069,12.84764635,13.79461538,70.22532792,84.358125,0.696168087,3.187652898,0.845679012
hTME15-1_Str_01_xyz-6181-4981-163,hTME15-1,WT,D1,CPr,73.7662,64.3871,4,98.55,62858.6,136.511,1.05021,197.179,2412.09,16,40,8,24,0.25,80207.4,179.395,123.554,1.33297,114.045,124.751,94.5739,103.881,47.70684922,60.298,23.2790087,26.069375,63.99207623,83.11708333,0.709160573,3.366778513,0.792899408
hTME15-1_Str_01_xyz-6404-2581-156,hTME15-1,WT,D1,CPr,77.8967,57.5785,5,54.58,39757.4,126.575,1.05278,202.31,1645.78,13,29,3,16,0.384615,51446.5,158.728,147.46,1.21572,110.049,133.569,90.9184,91.2404,45.23453268,56.74689655,12.25172485,13.46846154,72.03306404,91.910625,0.753617443,4.140233881,0.87345679
hTME15-1_Str_01_xyz-6901-7949-172,hTME15-1,WT,D1,CPr,74.0923,69.8202,6,108.18,105228,144.897,1.04236,228.091,3309.4,23,52,6,29,0.460757,129418,176.277,165.511,1.14993,114.297,122.16,65.2159,75.7812,52.7683509,63.63788462,12.00030082,12.5326087,85.101632,104.1696552,0.759414778,4.26467357,0.890738814
hTME15-1_Str_01_xyz-6969-5468-112,hTME15-1,WT,D1,CPr,49.1947,72.8832,3,135.46,56073.1,140.45,1.03539,196.06,2377.48,16,40,8,24,0.354167,72234.9,186.684,146.44,1.16428,125.609,125.785,109.531,105.079,49.15862385,59.43225,16.00280229,17.23875,71.26250489,87.56125,0.739821588,3.868771818,0.914201183
hTME15-1_Str_01_xyz-7524-5515-142,hTME15-1,WT,D1,CPr,62.4202,101.163,6,48.78,20443.8,95.4317,1.05981,135.771,1074.63,10,23,3,13,0.404762,33593.4,203.053,95.4391,1.42857,127.233,100.076,91.8899,113.359,34.58018817,46.71782609,18.44540169,22.834,46.99156239,65.09,0.606438558,2.299232066,0.906666667
hTME15-1_Str_01_xyz-7957-6427-384,hTME15-1,WT,D1,CPr,89.7577,66.7869,5,111.21,64863.8,134.489,1.0329,223.44,2150.86,18,40,4,22,0.490741,81020.1,170.449,151.361,1.29085,98.8523,125.901,88.0657,92.119,45.30541949,53.76575,18.54913353,20.29,67.19692619,81.155,0.761807773,4.318006755,0.800347222
hTME15-1_Str_01_xyz-7989-7907-295,hTME15-1,WT,D1,CPr,77.8661,76.8013,7,159.38,44649.1,172.757,1.0497,251.12,1743.95,14,32,4,18,0.690476,60374.5,210.231,149.709,1.31094,114.188,119.106,103.093,82.7979,44.71025943,54.4928125,13.68565847,16.00071429,68.84050463,84.43111111,0.749208485,4.049868166,0.725
hTME15-1_Str_01_xyz-9030-5144-210,hTME15-1,WT,D1,CPr,64.4853,77.4201,5,70.15,32565.4,111.367,1.04825,165.02,1578.21,14,32,4,18,0.581633,41958.6,147.304,150.68,1.20597,115.639,113.546,84.7364,91.2043,39.06543943,49.3140625,15.75279913,16.47142857,57.197493,74.85833333,0.709290856,3.368664443,0.875
hTME15-1_Str_01_xyz-9312-7899-286,hTME15-1,WT,D1,CPr,90.6699,66.7611,4,106.02,46114.9,116.499,1.05344,179.42,2007.19,12,32,8,20,0.5,57319.5,141.601,149.252,1.13945,104.853,123.895,87.2333,80.2903,50.19774335,62.72,14.32540343,15.3625,71.7211473,91.1345,0.752235945,4.111534131,0.890495868
hTME15-1_Str_02_xyz-10192-7237-253,hTME15-1,WT,D2,CPr,57.1403,63.8604,4,98.13,42495.7,125.724,1.03508,197.421,2032.73,18,40,4,22,0.353704,53980.3,147.01,122.176,1.33333,127.289,124.755,88.0595,88.0785,42.10893955,50.81325,19.36236122,21.36833333,60.71977637,74.90454545,0.745506366,3.976672576,0.802083333
hTME15-1_Str_02_xyz-10312-11462-222,hTME15-1,WT,D2,CPr,69.1804,105.396,2,45.9,8508.24,87.9888,1.0314,135.67,629.055,5,13,3,8,0.4,10594.6,113.146,107.26,1.14973,126.415,106.848,119.404,119.998,40.83285744,48.38384615,11.39708987,11.866,59.23021218,71.2075,0.737321946,3.822965848,0.88
hTME15-1_Str_02_xyz-10352-8494-269,hTME15-1,WT,D1,CPr,91.8476,74.6343,3,138.76,40553.8,108.911,1.03971,157.616,1784.77,12,31,7,19,0.305556,51905.4,138.88,147.556,1.20346,96.663,123.758,96.0354,101.37,45.72135926,57.5683871,19.18025664,21.4375,62.48416091,80.38789474,0.729467029,3.685122601,0.857142857
hTME15-1_Str_02_xyz-10535-8817-344,hTME15-1,WT,D2,CPr,69.7246,76.5869,6,92.8,40110.8,105.008,1.03212,159.32,1984.86,22,48,4,26,0.443182,51416.6,136.689,123.79,1.32315,125.578,118.628,78.6702,82.7452,34.45666415,41.345625,13.84837687,15.06136364,51.89444569,63.58615385,0.72862148,3.670811315,0.905612245
hTME15-1_Str_02_xyz-10627-10402-152,hTME15-1,WT,D1,CPr,60.2753,72.283,3,63.05,20455.5,103.413,1.038,138.38,1184.88,10,24,4,14,0.4,26034.5,126.624,114.93,1.13869,122.107,115.89,94.7241,112.354,41.41410602,49.36458333,13.3060807,13.911,61.49126696,74.68857143,0.808089106,5.64611407,0.9140625
hTME15-1_Str_02_xyz-10695-8026-356,hTME15-1,WT,D1,CPr,76.3896,68.1572,5,69.93,20594.2,123.58,1.06355,128.775,1157.31,13,33,7,20,0.495726,27104.2,152.189,157.535,1.56341,108.382,122.659,75.6341,86.9387,27.90945483,35.06484848,16.27552308,19.24692308,35.47151046,45.3465,0.707420365,3.34176579,0.832644628
hTME15-1_Str_02_xyz-10825-8039-303,hTME15-1,WT,D2,CPr,75.627,68.5652,4,35.32,38750,159.072,1.04027,214.04,1341.26,9,22,4,13,0.277778,49383,219.436,141.5,1.28932,119.585,118.047,70.7018,84.9446,48.93994442,60.96136364,26.93134848,29.34555556,64.17666469,82.84923077,0.727307875,3.64877306,0.871111111
hTME15-1_Str_02_xyz-10932-9636-276,hTME15-1,WT,D2,CPr,80.6607,84.0822,4,87.47,37110,113.681,1.03008,186.54,1559.81,12,29,5,17,0.305556,48582.6,161.573,129.641,1.3483,118.739,112.776,88.6856,93.2044,45.39907105,53.78206897,24.00388254,26.47416667,60.50155705,73.05823529,0.672417611,2.900452582,0.930747922
hTME15-1_Str_02_xyz-2621-5459-167,hTME15-1,WT,D1,CPr,70.2058,55.0207,8,81.96,63580.7,138.939,1.03,211.401,2089.45,19,42,4,23,0.557895,79000.6,194.719,166.59,1.36393,113.144,120.978,109.36,111.198,43.91260739,49.74357143,17.63436878,19.18210526,65.62071754,74.99,0.793412642,5.152962636,0.8416
hTME15-1_Str_02_xyz-2776-9570-73,hTME15-1,WT,D1,CPi,60.6182,54.2939,6,128.78,108957,139.373,1.03647,204.149,3826.43,36,79,7,43,0.516005,133858,178.996,161.657,1.32264,122.554,131.689,79.7134,89.5792,41.3106628,48.43075949,18.17569464,20.03305556,60.67947335,72.2055814,0.785747402,4.925184532,0.819259259
hTME15-1_Str_02_xyz-2794-11158-63,hTME15-1,WT,D2,CPi,77.0339,64.3299,5,112.96,68997,126.641,1.03811,205.77,2725.26,31,66,4,35,0.334793,91486.5,198.532,120.821,1.48217,111.939,127.341,88.1347,97.4416,33.67697732,41.28681818,17.19716611,19.57774194,48.27338154,60.51485714,0.763054348,4.346264577,0.837107378
hTME15-1_Str_02_xyz-3529-9824-72,hTME15-1,WT,D2,CPi,77.5884,59.8743,5,86.72,78054.5,121.386,1.03332,184.31,2931.13,28,62,6,34,0.460714,98603.5,144.424,133.35,1.23242,114.644,127.034,76.3804,68.8723,39.40169581,47.27096774,12.56096977,13.355,61.50582314,75.20176471,0.755778146,4.185845534,0.882716049
hTME15-1_Str_02_xyz-3877-8560-277,hTME15-1,WT,D1,CPr,65.1456,90.0411,3,121.74,45977.7,115.617,1.04245,181.25,1925.74,12,31,7,19,0.416667,58994.9,157.342,130.989,1.13208,117.064,102.941,87.2322,102.648,47.77628342,62.11548387,15.05856673,15.96166667,68.44010449,91.26526316,0.666118438,2.831793018,0.925170068
hTME15-1_Str_02_xyz-4034-10145-241,hTME15-1,WT,D2,CPr,57.3194,71.5305,5,129.44,46890.4,130.917,1.05497,208.251,1789.94,12,27,3,15,0.511905,60645.3,176.153,153.385,1.22123,124.491,119.554,79.5785,73.9309,51.51173278,66.28888889,16.95430271,19.305,79.15767684,103.876,0.741379365,3.897815681,0.871972318
