file_path,Brain,Type,Sex,Striatal.Subregion,Striatal.Community,Bif_ampl_local,Bif_ampl_remote,Branch_Order,Depth,Sum_EucDistance,Max_EucDistance,Fractal_Dim,Height,Length,N_bifs,N_branch,N_stems,N_tips,Partition_asymmetry,Sum_PathDistance,Max_PathDistance,Width,Terminal_degree,Bif_tilt_local,Bif_tilt_remote,Bif_torque_local,Bif_torque_remote,ABEL_All,BAPL_All,ABEL_Internal,BAPL_Internal,ABEL_Terminal,BAPL_Terminal,Balancing_Factor,Centripetal_Bias,Convexity
1001_TME07-1_30x_Str_05B_xyz-3495-18394-128,TME07-1,D2,Male,CPc,CPc_d,73.8116,69.685,6,114.85,68251,149.818,1.02191,242.74,2244.87,23,50,4,27,0.472257,84815.4,188.198,150.449,1.36752,125.26,124.835,86.3402,82.6854,39.98790242,44.892,19.61854922,20.67086957,57.33957366,65.52481481,0.746191798,3.99004555,0.831153389
1002_TME07-1_30x_Str_05B_xyz-3553-9333-260,TME07-1,D1,Male,CPi,CPi_vm,75.9143,66.7948,2,45.59,36674,145.924,1.0263,236.411,1216.55,7,18,4,11,0.142857,44103.1,167.21,183.871,1.16477,123.893,125.682,113.285,97.5138,58.64689266,67.58111111,27.34525161,30.27,78.56611878,91.32454545,0.798197158,5.304948967,0.905325444
1004_TME07-1_30x_Str_05B_xyz-3861-13906-168,TME07-1,D1,Male,CPc,CPi_vm,71.7588,70.1539,3,67.55,49536.6,147.714,1.02116,236.43,1460.8,11,25,3,14,0.424242,58487.7,167.945,154.1,1.2128,118.742,118.81,101.989,99.745,52.52910551,58.4276,21.29116163,22.26090909,77.07320428,86.84428571,0.8017931,5.424577694,0.9296875
1005_TME07-1_30x_Str_05B_xyz-4211-18593-355,TME07-1,D1,Male,CPi,CPi_dm,61.1835,62.5991,8,110.9,99501.9,179.72,1.02619,212.43,3351.06,33,71,5,38,0.357431,121022,213.815,155.571,1.27904,131.432,128.811,83.3553,84.361,41.17272415,47.19309859,21.16017172,22.71181818,58.55204599,68.45315789,0.754326397,4.155101324,0.77625
1006_TME07-1_30x_Str_05B_xyz-4413-17905-16,TME07-1,D1,Male,CPc,CPc_d,74.4543,68.0988,4,77.87,41354,148.446,1.03534,151.6,1667.79,20,44,4,24,0.346429,50050.2,168.395,119.199,1.40062,112.15,122.594,100.414,92.4156,32.21136894,37.89909091,19.03653598,20.958,43.1903964,52.01666667,0.755385958,4.177500016,0.823964497
1007_TME07-1_30x_Str_05B_xyz-4417-18113-366,TME07-1,D2,Male,CPi,CPi_dm,59.4677,63.2551,2,119.92,47586.4,206.126,1.02637,216.813,1406.37,6,17,5,11,0,57058.6,263.181,208.394,1.04896,133.82,121.158,88.5798,102.037,69.4860419,82.72294118,27.38859704,27.65666667,92.44828456,112.7590909,0.759095373,4.257644034,0.852071006
1008_TME07-1_30x_Str_05B_xyz-4527-20831-183,TME07-1,D1,Male,CPc,CPc_d,75.4633,64.6276,5,106.85,99945.6,158.108,1.02515,198.682,3317.08,30,65,5,35,0.379121,123847,175.077,170.181,1.17822,114.225,123.974,100.91,91.9274,44.68080374,51.02692308,13.12504246,13.853,71.72859913,82.89028571,0.761693041,4.315422502,0.815193572
1009_TME07-1_30x_Str_05B_xyz-4694-5498-443,TME07-1,D1,Male,CPi,CPi_vm,95.7693,71.7612,5,90.97,33874.6,130.516,1.02177,132.25,1533.14,17,42,8,25,0.5,40982.4,164.309,122.109,1.40351,100.547,126.435,85.0014,97.5452,32.94204822,36.49857143,22.02306433,23.66235294,40.36695726,45.2272,0.831141609,6.61644975,0.864197531
1010_TME07-1_30x_Str_05B_xyz-4730-6000-377,TME07-1,D2,Male,CPi,CPi_vm,61.0194,63.6002,5,100.2,91078.7,194.149,1.01528,311.64,1897.27,13,28,2,15,0.395971,107081,214.161,218.549,1.25492,135.484,134.179,81.0601,57.7832,62.16073191,67.755,26.75131224,28.09769231,92.84889563,102.1246667,0.827787241,6.457162866,0.916955017
1011_TME07-1_30x_Str_05B_xyz-4815-12437-198,TME07-1,D2,Male,CPc,CPi_vm,89.8001,87.5449,4,64.56,31572.8,127.746,1.04006,154.365,1253.79,10,23,3,13,0.193333,46265.5,184.89,195.65,1.32302,101.607,107.364,70.7917,77.742,41.61225953,54.50695652,26.40233501,29.641,53.31220147,73.63461538,0.572425375,2.067047284,0.875555556
